Fecha;Latitud;Longitud;Precipitacion;Año;Mes;P3;P12;SPI-3;SPI-12
2008-04-01;-24.2;-55.4;12.8577680587769;2008;4;149.34110546112072;876.9438657760628;-1.1814742824862408;-1.7488091769329688
2008-05-01;-24.2;-55.4;114.709426879883;2008;5;211.7097425460818;908.5636930465708;-0.33791117109508506;-1.5078062119058697
2008-06-01;-24.2;-55.4;61.0030670166016;2008;6;188.5702619552615;925.9344205856333;-0.9843276517124319;-1.4011886651884204
2008-07-01;-24.2;-55.4;14.039623260498;2008;7;189.7521171569826;906.355040550233;-1.0417599196994325;-1.5898509730712622
2008-08-01;-24.2;-55.4;24.5377407073975;2008;8;99.5804309844971;894.2616548538218;-1.944921453631106;-1.634055449641135
2008-09-01;-24.2;-55.4;46.8235855102539;2008;9;85.4009494781494;911.6018037796031;-2.0272987205142305;-1.5680422523790882
2008-10-01;-24.2;-55.4;38.2923164367676;2008;10;109.653642654419;841.0543069839487;-2.136090042866236;-1.8839906512479263
2008-11-01;-24.2;-55.4;152.229278564453;2008;11;237.34518051147452;847.4008340835576;-1.4928093252290138;-1.856989259993815
2008-12-01;-24.2;-55.4;125.35489654541;2008;12;315.87649154663063;783.7186975479127;-1.36400963445746;-2.2862089261068834
2009-01-01;-24.2;-55.4;69.3435516357422;2009;1;346.92772674560524;795.6745920181276;-0.7165466829025295;-2.245867253925581
2009-02-01;-24.2;-55.4;101.795555114746;2009;2;296.4940032958982;845.1293573379517;-0.3493130078937516;-1.9424384522049323
2009-03-01;-24.2;-55.4;50.1076927185059;2009;3;221.2467994689941;811.0945024490355;-0.5952325147056047;-2.1181505676280974
2009-04-01;-24.2;-55.4;222.648147583008;2009;4;374.5513954162599;1020.8848819732667;1.9472323430586673;-0.9000911687337386
2009-05-01;-24.2;-55.4;99.8941116333008;2009;5;372.64995193481474;1006.0695667266845;1.5494862163502798;-0.9525056153719004
2009-06-01;-24.2;-55.4;103.188682556152;2009;6;425.7309417724608;1048.255182266235;1.7903929836927857;-0.7180822819825571
2009-07-01;-24.2;-55.4;94.1005706787109;2009;7;297.1833648681637;1128.3161296844478;0.30123407553953807;-0.31782881727427437
2009-08-01;-24.2;-55.4;84.3850784301758;2009;8;281.6743316650387;1188.163467407226;0.6268954341944697;-0.007439384830423504
2009-09-01;-24.2;-55.4;44.1294288635254;2009;9;222.6150779724121;1185.4693107604976;0.13302627783717974;-0.025234656687392547
